_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84;HORAIRES;PLACES_PMR;PLACES_ELEC;PLACES_VELO;PLACES_MOTO
3733;48 Station Abonnement Verdun;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;17 Rue de Verdun;;www.bicloo.nantesmetropole.fr;44000;-1,5518681765;47,2175167697;;;;;
3701;17 Station Accueil Sainte Elisabeth;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;3 Place Sainte Elisabeth;;www.bicloo.nantesmetropole.fr;44000;-1,5615887684;47,2192254422;;;;;
3747;62 Station Abonnement Gare Nord;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;1 Place Charles le Roux;;www.bicloo.nantesmetropole.fr;44000;-1,5422409684;47,2181414046;;;;;
3745;60 Station Abonnement Gare Sud;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;12 Rue de Lourmel;;www.bicloo.nanresmetropole.fr;44000;-1,5428659609;47,2159307421;;;;;
3740;55 Station Accueil Magellan;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;11 Rue de Belfort;;www.bicloo.nantesmetropole.fr;44000;-1,5442482634;47,2106839755;;;;;
3751;65 Station Accueil Sully;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;7 Cours Sully;;www.bicloo.nantesmetropole.fr;44000;-1,5516848392;47,2225988185;;;;;
3693;9 Station Accueil Guépin;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;2 Rue du Calvaire;;www.bicloo.nantesmetropole.fr;44000;-1,5591557379;47,2158294341;;;;;
1041;Gare Routière Cariane Atlantique;10;DEPLACEMENT;1004;Transport en commun;100404;Route;;NANTES;5 Allée Duquesne;02 40 20 46 99;;44000;-1,5566509963;47,217320025;;;;;
3690;6 Station Abonnement Place du Cirque;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;7 Allée Duquesne;;www.bicloo.nantesmetropole.fr;44000;-1,5568696293;47,2176522877;;;;;
3688;4 Station Accueil Moulin;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;18 Rue du Moulin;;www.bicloo.nantesmetropole.fr;44000;-1,5544258471;47,2166468712;;;;;
284;Parking ouvrage Decré-Bouffay;10;DEPLACEMENT;1001;Parking Ouvrage;100103;Mixte;;NANTES;18 Rue du Moulin;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,5540046323;47,21666262;Ouvert de 6h30 à 22h30, 7j /7.;2;;5;
3718;33 Station Accueil Racine;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;5 Rue Racine;;www.bicloo.nantesmetropole.fr;44000;-1,5631877059;47,2134832603;;;;;
3689;5 Station Accueil Brossard;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;12 Allée Duquesne;;www.bicloo.nantesmetropole.fr;44000;-1,5563270903;47,2188225831;;;;;
3710;27 Station Accueil Guist'hau Nord;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;44 Boulevard Gabriel Guist'Hau;;www.bicloo.nantesmetropole.fr;44000;-1,5692672062;47,2179401852;;;;;
3702;18 Station Abonnement et Bonus Place Viarme;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;23 Place Viarme;;www.bicloo.nantesmetropole.fr;44000;-1,5633269811;47,221440878;;;;;
3724;39 Station Accueil Quai Moncousu;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;10 Quai Moncousu;;www.bicloo.nantesmetropole.fr;44000;-1,5552484143;47,2093654561;;;;;
3750;64 Station Abonnement et Bonus Saint Clément;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;37 Rue Maréchal Joffre;;www.bicloo.nantesmetropole.fr;44000;-1,546931672;47,2219737373;;;;;
4004;97 Station Accueil Saint-Donatien;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;69 Rue Général Buat;;www.bicloo.nantesmetropole.fr;44000;-1,5404024174;47,2291287627;;;;;
3754;68 Station Accueil Livet;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;65 Rue Dufour;;www.bicloo.nanresmetropole.fr;44000;-1,545216321;47,2240954955;;;;;
3743;58 Station Accueil Palais des Sports;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;21 Rue René Viviani;;www.bicloo.nantesmetropole.fr;44200;-1,5359991607;47,2084771962;;;;;
3742;57 Station Abonnement Gaëtan Rondeau;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;20 Rue Gaëtan Rondeau;;www.bicloo.nantesmetropole.fr;44200;-1,5376001396;47,2054072119;;;;;
